"School Number","School Name","LA Code","Local Authority","Sector","Governance - see notes","WM Code","Welsh Medium Type - see notes","School Type","Religious Character","Address 1","Address 2","Address 3","Address 4","Postcode","Phone Number","Pupils - see notes","lon","lat"
6742370,"Hendreforgan Primary School",674,"Rhondda Cynon Taf","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Hendreforgan","Gilfach Goch",NA,NA,"CF39 8UH","01443 672394",208,-3.4679103,51.582596
6742371,"Penyrenglyn Primary",674,"Rhondda Cynon Taf","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Baglan Street","Treherbert","Treorchy",NA,"CF42 5AW","01443 772433",231,-3.5276978,51.6691168
6742372,"Penywaun Community School",674,"Rhondda Cynon Taf","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Coed Glas","Penywaun","Aberdare",NA,"CF44 9DR","01685 811216",196,-3.4807915,51.7317002
6742373,"Penrhys Community Primary",674,"Rhondda Cynon Taf","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Penrhys","Tylorstown","Ferndale",NA,"CF43 3PL","01443 730037",111,-3.4392792,51.6440472
6742374,"Gwaunmeisgyn Primary School",674,"Rhondda Cynon Taf","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Woodland Road","Beddau","Pontypridd",NA,"CF38 2SE","01443 203079",308,-3.3494653,51.5542663
6742375,"Gwauncelyn Primary School",674,"Rhondda Cynon Taf","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Heol Deg","Tonteg","Pontypridd",NA,"CF38 1EU","01443 204376",424,-3.3153463,51.5692213
6742376,"Penrhiwceibr Primary",674,"Rhondda Cynon Taf","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Church Street","Penrhiwceibr","Mountain Ash",NA,"CF45 3YD","01443 472247",157,-3.3629546,51.6694915
6742378,"Ynyshir Community Primary",674,"Rhondda Cynon Taf","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Llanwonno Road","Ynyshir","Porth","Rhondda Cynon Taf","CF39 0HU","01443 685208",260,-3.4039065,51.6223414
6742380,"Cwmclydach Community Primary School",674,"Rhondda Cynon Taf","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Wern Street","Clydach Vale","Tonypandy",NA,"CF40 2BQ","01443 433005",232,-3.4775762,51.6269395
6742381,"Aberdare Park Primary",674,"Rhondda Cynon Taf","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Hirwaun Road","Trecynon","Aberdare","Mid Glamorgan","CF44 8LU","01685 874026",338,-3.4581653,51.7199936
6742382,"Maerdy Primary School",674,"Rhondda Cynon Taf","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Graig Wen","Ferndale",NA,NA,"CF43 4TW","01443 755227",281,-3.4829233,51.6681433
6742383,"Cwmbach Community Primary",674,"Rhondda Cynon Taf","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Llangorse Road","Cwmbach","Aberdare",NA,"CF44 0HS","01685 876115",259,-3.4157461,51.7093562
6742384,"Ynysboeth Community Primary",674,"Rhondda Cynon Taf","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Ynysboeth","Matthewstown","Mountain Ash",NA,"CF45 4LJ","01443 473054",183,-3.3455915,51.6594384
6742385,"Abercynon Primary",674,"Rhondda Cynon Taf","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Ynysmeurig Road","Abercynon","Mountain Ash",NA,"CF45 4SU","01443 743060",341,-3.3290687,51.6463947
6742386,"Cymmer Primary School",674,"Rhondda Cynon Taf","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","High Street","Cymmer","Rhondda Cynon Taf",NA,"CF39 9HA","01443 682168",269,-3.4112987,51.6071394
6742387,"Cwmaman Primary",674,"Rhondda Cynon Taf","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Glanaman Road",NA,"Cwmaman","Aberdare","CF44 6LA",NA,233,-3.4514785,51.6852264
6743309,"Our Lady's R.C.",674,"Rhondda Cynon Taf","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","Miskin Road","Miskin","Mountain Ash","Rhondda Cynon Taf","CF45 3UA","01443 472230",111,-3.3748334,51.6797013
6743312,"St Michaels Primary",674,"Rhondda Cynon Taf","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","John Place","Treforest","Pontypridd","Rhondda Cynon Taf","CF37 1SP","01443 486840",230,-3.3242451,51.5895453
6743313,"S.S.Gabriel And Raphael Prim",674,"Rhondda Cynon Taf","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","Primrose Street","Tonypandy",NA,NA,"CF40 1BJ","01443 433094",149,-3.4533389,51.619088
6743314,"St. Margaret's Catholic Primary School",674,"Rhondda Cynon Taf","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","Ty Fry","Aberdare","Rhondda Cynon Taf",NA,"CF44 7PP","01685 876072",145,-3.4566687,51.7111301
6743317,"Aberdare Town C In W Primary",674,"Rhondda Cynon Taf","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Wind Street","Aberdare","Rhondda Cynon Taf",NA,"CF44 7HF","01685 871520",313,-3.4404533,51.7094611
6743319,"Cwmbach Church In Wales",674,"Rhondda Cynon Taf","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Tirfounder Road","Cwmbach","Aberdare",NA,"CF44 0AT","01685 873336",104,-3.4131888,51.7029983
6744019,"Bryncelynnog Comprehensive School",674,"Rhondda Cynon Taf","Secondary","Community","EM","English medium","Secondary (ages 11-19)","---","Penycoedcae Road","Beddau","Pontypridd",NA,"CF38 2AE","01443 203411",1126,-3.3582148,51.560105
6744022,"The Pontypridd High School",674,"Rhondda Cynon Taf","Secondary","Community","EM","English medium","Secondary (ages 11-19)","---","Albion Site","Cilfynydd","Pontypridd",NA,"CF37 4SF","01443 486133",910,-3.3246177,51.623951
6744027,"Hawthorn High School",674,"Rhondda Cynon Taf","Secondary","Community","EM","English medium","Secondary (ages 11-19)","---","School Lane","Hawthorn","Pontypridd",NA,"CF37 5AL","01443 841228",736,-3.307051,51.5786719
6744053,"Mountain Ash Comprehensive School",674,"Rhondda Cynon Taf","Secondary","Community","EM","English medium","Secondary (ages 11-19)","---","New Road","Mountain Ash",NA,NA,"CF45 4DG","01443 479199",879,-3.3890583,51.6880304
6744054,"Ysgol Gyfun Garth Olwg",674,"Rhondda Cynon Taf","Secondary","Community","WM","Welsh medium","Secondary (ages 11-19)","---","Y Brif Ffordd","Pentre'r Eglwys","Pontypridd","Rhondda Cynon Taf","CF38 1DX","01443 219580",810,-3.3243417,51.5656757
6744081,"Treorchy Comprehensive School",674,"Rhondda Cynon Taf","Secondary","Community","EW","English with significant Welsh","Secondary (ages 11-19)","---","Pengelli","Treorchy","Rhondda",NA,"CF42 6UL","01443 773128",1650,-3.5121955,51.6590313
6744083,"Ferndale Community School",674,"Rhondda Cynon Taf","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Ferndale",NA,NA,NA,"CF43 4AR","01443 755337",579,-3.4722335,51.6710969
6744096,"Y Pant Comprehensive",674,"Rhondda Cynon Taf","Secondary","Community","EM","English medium","Secondary (ages 11-19)","---","Cowbridge Road","Talbot Green","Pontyclun","Rhondda Cynon Taf","CF72 8YQ","01443 562250",1323,-3.3840207,51.5300796
6744097,"Ysgol Gyfun Cwm Rhondda",674,"Rhondda Cynon Taf","Secondary","Community","WM","Welsh medium","Secondary (ages 11-19)","---","Heol Graigwen","Cymmer","Porth",NA,"CF39 9HA","01443 680800",732,-3.4112987,51.6071394
6744105,"Ysgol Gyfun Rhydywaun",674,"Rhondda Cynon Taf","Secondary","Community","WM","Welsh medium","Secondary (ages 11-19)","---","Rhodfa Lawrence","Penywaun","Hirwaun","Rhondda Cynon Taf","CF44 9ES","01685 813500",971,-3.4929004,51.7351364
6744106,"Aberdare Community School",674,"Rhondda Cynon Taf","Secondary","Community","EM","English medium","Secondary (ages 11-19)","---","Ynys Road","Ynys","Aberdare",NA,"CF44 7RP","01685 888500",1276,-3.4367043,51.7127045
6744602,"Cardinal Newman R.C.",674,"Rhondda Cynon Taf","Secondary","Voluntary aided","EM","English medium","Secondary (ages 11-19)","Roman Catholic","Dynea Road","Rhydyfelin","Pontypridd","Rhondda Cynon Taf","CF37 5DP","01443 494110",770,-3.3018655,51.5829328
6744604,"St.John Baptist High School",674,"Rhondda Cynon Taf","Secondary","Voluntary aided","EM","English medium","Secondary (ages 11-19)","Church in Wales","Glan Road","Aberdare","Rhondda Cynon Taf",NA,"CF44 8BW","01685 875414",959,-3.4583814,51.7153684
6745500,"Ysgol Llanhari",674,"Rhondda Cynon Taf","Middle","Community","WM","Welsh medium","Middle (ages 3-19)","---","Llanhari","Pontyclun","Rhondda Cynon Taf",NA,"CF72 9XE","01443 237824",639,-3.439817,51.5113546
6745501,"Porth Community School",674,"Rhondda Cynon Taf","Middle","Community","EM","English medium","Middle (ages 3-16)","---","Cemetery Road",NA,NA,"Porth","CF39 0BS",NA,972,-3.4193918,51.6169507
6745502,"Ysgol Nantgwyn",674,"Rhondda Cynon Taf","Middle","Community","EM","English medium","Middle (ages 3-16)","---","Llewellyn Street","Penygraig",NA,"Tonypandy","CF40 1HQ",NA,1133,-3.4633015,51.612042
6745503,"Tonyrefail Community School",674,"Rhondda Cynon Taf","Middle","Community","EM","English medium","Middle (ages 3-19)","---","Gilfach Road",NA,"Tonyrefail",NA,"CF39 8HG",NA,1303,-3.4409974,51.5814115
6747006,"Maesgwyn",674,"Rhondda Cynon Taf","Special","Not Applicable","NA","Not applicable","Special (with post-16 provision)","---","Cwmdare Road","Cwmdare","Aberdare",NA,"CF44 8RE","01685 873933",130,-3.4703975,51.7229329
6747008,"Park Lane Special School",674,"Rhondda Cynon Taf","Special","Not Applicable","NA","Not applicable","Special (with post-16 provision)","---","Park Lane","Trecynon","Aberdare","Rhondda Cynon Taf","CF44 8HN","01685 874489",93,-3.4609645,51.7202413
6747011,"Ysgol Hen Felin",674,"Rhondda Cynon Taf","Special","Not Applicable","NA","Not applicable","Special (with post-16 provision)","---","Gelligaled Park","Ystrad","Rhondda",NA,"CF41 7SZ","01443 431571",178,-3.4622072,51.6428801
6747015,"Ysgol Ty Coch",674,"Rhondda Cynon Taf","Special","Not Applicable","NA","Not applicable","Special (with post-16 provision)","---","Lansdale Drive","Tonteg","Pontypridd","Rhondda Cynon Taf","CF38 1PG","01443 203471",142,-3.3060202,51.5683319
6752000,"Abercanaid Community",675,"Merthyr Tydfil","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","The Park","Abercanaid","Merthyr Tydfil",NA,"CF48 1SZ","01443 690254",195,-3.3615636,51.7232876
6752002,"Cyfarthfa Park Primary School",675,"Merthyr Tydfil","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Cyfarthfa Park","Merthyr Tydfil",NA,NA,"CF47 8RE","01685 723640",449,-3.3881319,51.7550315
6752006,"Caedraw Primary",675,"Merthyr Tydfil","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Caedraw Road","Merthyr Tydfil",NA,NA,"CF47 8HA","01685 727482",219,-3.3789905,51.7432472
6752010,"Gellifaelog Primary School",675,"Merthyr Tydfil","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Penydarren","Merthyr Tydfil",NA,NA,"CF47 9TJ","01685 723078",243,-3.3634974,51.762175
6752015,"Pantysgallog Primary School",675,"Merthyr Tydfil","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Pant","Dowlais","Merthyr Tydfil",NA,"CF48 2AD","01685 722971",254,-3.356788,51.7704548
6752020,"Gwaunfarren Primary",675,"Merthyr Tydfil","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Alexandra Avenue","Merthyr Tydfil",NA,NA,"CF47 9AF","01685 722096",270,-3.3732179,51.7543045
6752022,"Heolgerrig Community School",675,"Merthyr Tydfil","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Heolgerrig Road","Heolgerrig","Merthyr Tydfil",NA,"CF48 1SB","01685 722571",241,-3.405189,51.7441423
6752039,"Ynysowen Primary",675,"Merthyr Tydfil","Primary","Community","EW","English with significant Welsh","Nursery, Infants & Juniors","---","Aberfan Road","Aberfan","Merthyr Tydfil",NA,"CF48 4QQ","01685 728994",272,-3.3431197,51.69627
6752042,"Ysgol Santes Tudful",675,"Merthyr Tydfil","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","HEOL PANTYFFIN","Twynyrodyn",NA,"MERTHYR TUDFUL","CF47 0HU","01685 728992",480,-3.3627524,51.7478377
6752054,"Bedlinog Community Primary School",675,"Merthyr Tydfil","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Hylton Terrace","Bedlinog","Treharris","Merthyr Tydfil","CF46 6RG","01443 710368",92,-3.3197423,51.7018789
6752231,"Trelewis Primary School",675,"Merthyr Tydfil","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Trelewis","Treharris","Merthyr Tydfil",NA,"CF46 6AH","01443 412324",240,-3.2948375,51.6679578
6752330,"Ysgol-Y-Graig",675,"Merthyr Tydfil","Primary","Community","EM","English medium","Infants & Juniors","---","Cefn Coed","Merthyr Tydfil",NA,NA,"CF48 2LR","01685 723159",187,-3.3983604,51.7643099
6752346,"Ysgol Gymraeg Rhyd-Y-Grug",675,"Merthyr Tydfil","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Aberfan","Merthyr Tydfil",NA,NA,"CF48 4NT","01685 728990",282,-3.3414659,51.689062
6752351,"Coed Y Dderwen Primary School",675,"Merthyr Tydfil","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Gellideg Estate","Merthyr Tydfil",NA,NA,"CF48 1LG","01685 722916",236,-3.3983776,51.7547362
6752352,"Twynyrodyn Community School",675,"Merthyr Tydfil","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Gilfach Cynon","Twynyrodyn","Merthyr Tydfil",NA,"CF47 0LW","01685 358270",364,-3.3661153,51.7446062
6752353,"Edwardsville Primary School",675,"Merthyr Tydfil","Primary","Community","EM","English medium","Infants & Juniors","---","Cardiff Road","Edwardsville","Treharris","Merthyr Tydfil","CF46 5NE","01443 410662",365,-3.3214777,51.6635827
6752354,"Troedyrhiw Community Primary School",675,"Merthyr Tydfil","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Archer Street","Troedyrhiw","Merthyr Tydfil",NA,"CF48 4JQ","01685 726721",230,-3.3473952,51.7137945
6752355,"Dowlais Primary School",675,"Merthyr Tydfil","Primary","Community","EM","English medium","Infants & Juniors","---","High Street","Caeharris","Dowlais","Merthyr Tydfil","CF48 3HB","01685 722286",214,-3.3465198,51.7623287
6752356,"Goetre Primary School",675,"Merthyr Tydfil","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Rowan Way","Gurnos Estate","Merthyr Tydfil",NA,"CF47 9PB","01685 722069",425,-3.3852661,51.7607257
6753300,"St. Illtyds R.C.",675,"Merthyr Tydfil","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","Rocky Road","Dowlais","Merthyr Tydfil",NA,"CF48 3BT","01685 722235",166,-3.360935,51.7605976
6753306,"St.Mary's Catholic Primary",675,"Merthyr Tydfil","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","Caedraw Road","Merthyr Tydfil",NA,NA,"CF47 8HA","01685 722227",232,-3.3789905,51.7432472
6753307,"St Aloysius Rc",675,"Merthyr Tydfil","Primary","Voluntary aided","EM","English medium","Infants & Juniors","Roman Catholic","Cedar Way","Gurnos Estate","Merthyr Tydfil",NA,"CF47 9PA","01685 721741",174,-3.3831757,51.7597955
6754011,"Afon Taf High School",675,"Merthyr Tydfil","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Yew Street","Troedyrhiw","Merthyr Tydfil",NA,"CF48 4ED","01685 351830",645,-3.3454855,51.7093956
6754012,"Pen-Y-Dre High School",675,"Merthyr Tydfil","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Gurnos Estate","Merthyr Tydfil",NA,NA,"CF47 9BY","01685 721726",576,-3.3793261,51.7671688
6754013,"Cyfarthfa High School",675,"Merthyr Tydfil","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Cae Mari Dwn","Queen's Road","Merthyr Tydfil",NA,"CF47 0LS","01685 721725",1121,-3.37,51.7489506
6754600,"Bishop Hedley High School",675,"Merthyr Tydfil","Secondary","Voluntary aided","EM","English medium","Secondary (ages 11-16)","Roman Catholic","Gwaunfarren Road","Penydarren","Merthyr Tydfil",NA,"CF47 9AN","01685 721747",491,-3.3725321,51.7567998
6757013,"Greenfield School",675,"Merthyr Tydfil","Special","Not Applicable","NA","Not applicable","Special (with post-16 provision)","---","Duffryn Road","Pentrebach","Merthyr Tydfil",NA,"CF48 4BJ","01443 690468",174,-3.3576112,51.7248851
6762058,"Pengam Primary",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Commercial Street","Pengam","Blackwood","Caerphilly","NP12 3ST","01443 830429",207,-3.2227684,51.6688005
6762061,"Fleur-De-Lys Primary",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","School Street","Fleur-De-Lys","Blackwood",NA,"NP12 3UX","01443 830539",125,-3.2187725,51.6580331
6762071,"Coed-Y-Brain Primary",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","School Street","Llanbradach","Caerphilly",NA,"CF83 3LD","02920 852513",208,-3.2298033,51.6007388
6762078,"Markham Primary",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Pantycefn Road","Markham","Blackwood",NA,"NP12 0QD","01495 224811",207,-3.2071178,51.7035181
6762081,"Cwmaber Junior School",676,"Caerphilly","Primary","Community","EM","English medium","Juniors","---","Brynhafod Road","Abertridwr","Caerphilly",NA,"CF83 4BH","02920 832231",146,-3.2684624,51.5975301
6762084,"Libanus Primary",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Libanus Rd","Blackwood","Caerphilly",NA,"NP12 1EH","01495 225736",375,-3.1942309,51.6615035
6762086,"Pontllanfraith Primary School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Penmaen Road","Pontllanfraith","Blackwood",NA,"NP12 2DN","01495 222128",254,-3.1841706,51.6576565
6762089,"Deri Primary School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Glynmarch Street","Deri","Bargoed","Caerphilly","CF81 9HZ","01443 875516",102,-3.2700935,51.7085462
6762093,"Crumlin High Level Primary",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Commercial Road","Crumlin","Newport",NA,"NP11 4PX","01495 244606",174,-3.1425691,51.6767387
6762095,"Pentwynmawr Primary School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Tonypistyll Road","Pentwynmawr","Newbridge",NA,"NP11 4HJ","01495 243400",128,-3.1619786,51.6592438
6762097,"Derwendeg Primary School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Hengoed Road","Cefn Hengoed","Hengoed",NA,"CF82 7HP","01443 813138",203,-3.2361202,51.6585459
6762098,"Tynewydd Primary School.",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Greenfield","Newbridge","Newbridge",NA,"NP11 4QZ","01495 243312",291,-3.1421158,51.6709822
6762100,"Cwmcarn Primary School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Newport Road","Cwmcarn","Crosskeys",NA,"NP11 7LZ","01495 270494",298,-3.129939,51.6342348
6762103,"Waunfawr Primary",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Waunfawr Road","Crosskeys","Caerphilly",NA,"NP11 7PG","01495 270269",187,-3.1252951,51.6190412
6762105,"Risca Primary",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Danygraig Road","Risca","Caerphilly",NA,"NP11 6DB","01633 612429",325,-3.1029703,51.6084351
6762108,"Fochriw Primary",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Pontlottyn Road","Fochriw","Bargoed",NA,"CF81 9LL","01685 841236",120,-3.2981727,51.7460344
6762121,"Gilfach Fargoed Primary",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Vere Street","Gilfach","Bargoed",NA,"CF81 8LB","01443 875510",185,-3.2272465,51.676919
6762140,"Hendre Junior School",676,"Caerphilly","Primary","Community","EM","English medium","Juniors","---","St Cenydd Road","Trecenydd","Caerphilly",NA,"CF83 2RP","02920 852518",222,-3.2409578,51.581994
6762145,"Hendre Infants School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery & Infants","---","St Cenydd Road","Trecenydd","Caerphilly",NA,"CF83 2RP","02920 852519",175,-3.2409578,51.581994
6762148,"Hengoed Primary",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Chapel Terrace","Hengoed","Caerphilly",NA,"CF82 7JU","01443 812909",178,-3.2324247,51.6504085
6762158,"Llancaeach Junior School",676,"Caerphilly","Primary","Community","EM","English medium","Juniors","---","Commercial Street","Nelson","Treharris",NA,"CF46 6NF","01443 450211",130,-3.2819795,51.650684
6762171,"Llanfabon Infants School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery & Infants","---","Bryncelyn Avenue","Nelson","Treharris","Caerphilly","CF46 6HL","01443 450275",140,-3.2918087,51.6498326
6762193,"Rhydri Primary School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Rhydri","Caerphilly",NA,NA,"CF83 3DF","02920 852525",90,-3.1598362,51.5764668
6762197,"Nant Y Parc Primary School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Universal Site","Senghenydd","Caerphilly",NA,"CF83 4GY","02920 832116",219,-3.2795721,51.6102288
6762207,"Pantside Primary",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Old Pant Road","Pantside","Newbridge","Newport","NP11 5DE","01495 243286",218,-3.1342911,51.6711909
6762224,"Tiryberth Primary",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","New Road","Tiryberth","Hengoed",NA,"CF82 8AU","01443 875526",199,-3.2292492,51.6636786
6762227,"Ty Isaf Infants School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery & Infants","---","Mill Street","Risca","Caerphilly",NA,"NP11 6EF","01633 612420",148,-3.0903664,51.6041569
6762252,"Cwm Ifor Primary School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Heol Aneurin","Penyrheol","Caerphilly",NA,"CF83 2PG","02920 852509",270,-3.242212,51.5877207
6762256,"Bryn Primary",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Forest Hill,The Bryn","Pontllanfraith","Blackwood",NA,"NP12 2PL","01495 225690",174,-3.2025572,51.6502369
6762262,"Ysgol Ifor Bach",676,"Caerphilly","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Windsor Way","Abertridwr","Caerphilly",NA,"CF83 4AB","02920 830375",284,-3.277807,51.6002336
6762264,"Abercarn Primary School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Chapel Of Ease","Abercarn","Caerphilly",NA,"NP11 5LH","01495 244566",261,-3.1322285,51.6546021
6762278,"Greenhill Primary",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Penywrlod","Gelligaer","Hengoed",NA,"CF82 8EU","01443 875521",185,-3.2581228,51.6651897
6762282,"Ysgol Gymraeg Caerffili",676,"Caerphilly","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Heol Parcyfelin","Caerffilli",NA,NA,"CF83 3HG","02920 852531",433,-3.2202134,51.5822349
6762285,"Ysgol Gymraeg Gilfach Fargod",676,"Caerphilly","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Commercial Street","Gilfach","Bargoed",NA,"CF81 8JG","01443 875528",183,-3.2278289,51.6785513
6762296,"Ynysddu Primary School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","High Street","Ynysddu","Newport",NA,"NP11 7JH","01495 200223",108,-3.1844661,51.6242062
6762307,"Upper Rhymney Primary School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Oakland Terrace","Rhymney",NA,NA,"NP22 5EP","01685 840293",189,-3.2901814,51.7668877
6762309,"Ysgol Y Lawnt",676,"Caerphilly","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Surgery Hill","Rhymney",NA,NA,"NP22 5LS","01685 840285",214,-3.2861005,51.7590792
6762310,"Bryn Awel Primary School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Eglwys Fan","Rhymney",NA,NA,"NP22 5JJ","01685 840230",151,-3.2785545,51.7553287
6762313,"Ysgol Gymraeg Trelyn",676,"Caerphilly","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Commercial Street","Pengam","Blackwood",NA,"NP12 3ST","01443 821600",202,-3.2227684,51.6688005
6762316,"Phillipstown Primary School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Cefn Rhychdir Road","Phillipstown","New Tredegar","Caerphilly","NP24 6XE","01443 875522",135,-3.2406294,51.7243703
6762322,"Maesycwmmer Primary School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Tabor Road","Maesycwmmer","Hengoed",NA,"CF82 7PU","01443 812148",183,-3.222456,51.6431855
6762323,"Bedwas Junior",676,"Caerphilly","Primary","Community","EM","English medium","Juniors","---","Church Street","Bedwas","Caerphilly",NA,"CF83 8EB","02920 852511",154,-3.1987554,51.591545
6762326,"Machen Primary School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Commercial Road","Machen","Newport",NA,"CF83 8NA","01633 440403",186,-3.1430087,51.5955178
6762328,"Graig-Y-Rhacca Primary And Nursery Community",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Addison Way","Machen","Caerphilly",NA,"CF83 8WW","02920 852516",176,-3.1693015,51.5943181
6762335,"Bedwas Infants",676,"Caerphilly","Primary","Community","EM","English medium","Nursery & Infants","---","St Mary's Street","Bedwas","Caerphilly",NA,"CF83 8EE","02920 852512",171,-3.1999769,51.5936519
6762338,"Hendredenny Park Primary",676,"Caerphilly","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","White Cross Lane","Hendredenny Estate","Caerphilly",NA,"CF83 2BL","02920 852520",260,-3.2467662,51.579694
6762339,"Cwm Glas Infants School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery & Infants","---","Pant Glas","Llanbradach","Caerphilly",NA,"CF83 3PD","02920 852515",85,-3.2257883,51.6151748
6762347,"Cwmaber Infants School",676,"Caerphilly","Primary","Community","EM","English medium","Nursery & Infants","---","Bryngelli Terrace","Abertridwr","Caerphilly",NA,"CF83 4FF","02920 830248",123,-3.2689468,51.5999863
6762368,"Ysgol Gymraeg Bro Allta",676,"Caerphilly","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Central Street","Ystrad Mynach","Hengoed",NA,"CF82 7XQ","01443 814883",314,-3.2396553,51.6416421
